TARGET_NACA0012
0.0954915028 0.0460488284
0.0909251413 0.0452219233
0.0864597129 0.0443737780
0.0820963193 0.0435047332
0.0778360372 0.0426151390
0.0736799178 0.0417053531
0.0696289865 0.0407757408
0.0656842428 0.0398266737
0.0618466600 0.0388585287
0.0581171850 0.0378716874
0.0544967379 0.0368665348
0.0509862121 0.0358434589
0.0475864738 0.0348028491
0.0442983617 0.0337450958
0.0411226872 0.0326705890
0.0380602337 0.0315797178
0.0351117571 0.0304728690
0.0322779846 0.0293504266
0.0295596155 0.0282127706
0.0269573206 0.0270602762
0.0244717419 0.0258933127
0.0221034926 0.0247122430
0.0198531572 0.0235174225
0.0177212908 0.0223091981
0.0157084194 0.0210879078
0.0138150398 0.0198538796
0.0120416190 0.0186074310
0.0103885947 0.0173488679
0.0088563746 0.0160784844
0.0074453369 0.0147965618
0.0061558297 0.0135033681
0.0049881711 0.0121991576
0.0039426493 0.0108841700
0.0030195223 0.0095586304
0.0022190177 0.0082227485
0.0015413331 0.0068767182
0.0009866358 0.0055207178
0.0005550625 0.0041549088
0.0002467198 0.0027794366
0.0000616838 0.0013944298
0.0000000000 0.0000001781
0.0000616838 -0.0013944298
0.0002467198 -0.0027794366
0.0005550625 -0.0041549088
0.0009866358 -0.0055207178
0.0015413331 -0.0068767182
0.0022190177 -0.0082227485
0.0030195223 -0.0095586304
0.0039426493 -0.0108841700
0.0049881711 -0.0121991576
0.0061558297 -0.0135033681
0.0074453369 -0.0147965618
0.0088563746 -0.0160784844
0.0103885947 -0.0173488679
0.0120416190 -0.0186074310
0.0138150398 -0.0198538796
0.0157084194 -0.0210879078
0.0177212908 -0.0223091981
0.0198531572 -0.0235174225
0.0221034926 -0.0247122430
0.0244717419 -0.0258933127
0.0269573206 -0.0270602762
0.0295596155 -0.0282127706
0.0322779846 -0.0293504266
0.0351117571 -0.0304728690
0.0380602337 -0.0315797178
0.0411226872 -0.0326705890
0.0442983617 -0.0337450958
0.0475864738 -0.0348028491
0.0509862121 -0.0358434589
0.0544967379 -0.0368665348
0.0581171850 -0.0378716874
0.0618466600 -0.0388585287
0.0656842428 -0.0398266737
0.0696289865 -0.0407757408
0.0736799178 -0.0417053531
0.0778360372 -0.0426151390
0.0820963193 -0.0435047332
0.0864597129 -0.0443737780
0.0909251413 -0.0452219233
0.0954915028 -0.0460488284
0.1001576708 -0.0468541622
0.1049224938 -0.0476376041
0.1097847963 -0.0483988451
0.1147433786 -0.0491375881
0.1197970172 -0.0498535489
0.1249444652 -0.0505464567
0.1301844525 -0.0512160549
0.1355156863 -0.0518621017
0.1409368511 -0.0524843703
0.1464466094 -0.0530826501
0.1520436017 -0.0536567466
0.1577264470 -0.0542064821
0.1634937432 -0.0547316960
0.1693440673 -0.0552322454
0.1752759758 -0.0557080051
0.1812880051 -0.0561588679
0.1873786718 -0.0565847453
0.1935464732 -0.0569855671
0.1997898873 -0.0573612817
0.2061073739 -0.0577118565
0.2124973740 -0.0580372775
0.2189583111 -0.0583375498
0.2254885910 -0.0586126971
0.2320866025 -0.0588627620
0.2387507176 -0.0590878056
0.2454792921 -0.0592879075
0.2522706658 -0.0594631658
0.2591231629 -0.0596136963
0.2660350929 -0.0597396330
0.2730047501 -0.0598411270
0.2800304151 -0.0599183468
0.2871103542 -0.0599714778
0.2942428207 -0.0600007215
0.3014260547 -0.0600062957
0.3086582838 -0.0599884335
0.3159377237 -0.0599473831
0.3232625781 -0.0598834075
0.3306310399 -0.0597967834
0.3380412909 -0.0596878013
0.3454915028 -0.0595567645
0.3529798374 -0.0594039887
0.3605044470 -0.0592298016
0.3680634750 -0.0590345419
0.3756550564 -0.0588185591
0.3832773181 -0.0585822126
0.3909283793 -0.0583258713
0.3986063523 -0.0580499130
0.4063093427 -0.0577547236
0.4140354499 -0.0574406965
0.4217827675 -0.0571082323
0.4295493840 -0.0567577379
0.4373333832 -0.0563896261
0.4451328445 -0.0560043148
0.4529458433 -0.0556022266
0.4607704521 -0.0551837883
0.4686047402 -0.0547494302
0.4764467746 -0.0542995857
0.4842946205 -0.0538346906
0.4921463413 -0.0533551829
0.5000000000 -0.0528615020
0.5078536587 -0.0523540886
0.5157053795 -0.0518333841
0.5235532254 -0.0512998299
0.5313952598 -0.0507538676
0.5392295479 -0.0501959383
0.5470541567 -0.0496264821
0.5548671555 -0.0490459382
0.5626666168 -0.0484547443
0.5704506160 -0.0478533365
0.5782172325 -0.0472421489
0.5859645501 -0.0466216136
0.5936906573 -0.0459921603
0.6013936477 -0.0453542162
0.6090716207 -0.0447082061
0.6167226819 -0.0440545518
0.6243449436 -0.0433936725
0.6319365250 -0.0427259843
0.6394955530 -0.0420519004
0.6470201626 -0.0413718312
0.6545084972 -0.0406861839
0.6619587091 -0.0399953627
0.6693689601 -0.0392997690
0.6767374219 -0.0385998011
0.6840622763 -0.0378958546
0.6913417162 -0.0371883221
0.6985739453 -0.0364775937
0.7057571793 -0.0357640566
0.7128896458 -0.0350480958
0.7199695849 -0.0343300935
0.7269952499 -0.0336104300
0.7339649071 -0.0328894831
0.7408768371 -0.0321676286
0.7477293342 -0.0314452406
0.7545207079 -0.0307226912
0.7612492824 -0.0300003508
0.7679133975 -0.0292785884
0.7745114090 -0.0285577714
0.7810416889 -0.0278382662
0.7875026260 -0.0271204377
0.7938926261 -0.0264046500
0.8002101127 -0.0256912659
0.8064535268 -0.0249806476
0.8126213282 -0.0242731564
0.8187119949 -0.0235691527
0.8247240242 -0.0228689965
0.8306559327 -0.0221730469
0.8365062568 -0.0214816625
0.8422735530 -0.0207952012
0.8479563983 -0.0201140203
0.8535533906 -0.0194384764
0.8590631489 -0.0187689256
0.8644843137 -0.0181057231
0.8698155475 -0.0174492233
0.8750555348 -0.0167997796
0.8802029828 -0.0161577445
0.8852566214 -0.0155234694
0.8902152037 -0.0148973043
0.8950775062 -0.0142795977
0.8998423292 -0.0136706964
0.9045084972 -0.0130709457
